,01.03.2025 03:33:11,02.03.2025 03:30:16,03.03.2025 03:31:25,04.03.2025 03:32:05,05.03.2025 03:29:56,07.02.2025 21:16:25,08.02.2025 03:23:02,09.02.2025 03:25:25,10.02.2025 03:26:52,11.02.2025 03:25:36,12.02.2025 03:25:04,12.03.2025 03:31:40,13.02.2025 03:25:19,13.03.2025 03:32:51,14.02.2025 03:25:29,14.03.2025 03:32:03,15.02.2025 03:25:57,15.03.2025 03:29:22,16.02.2025 03:27:43,16.03.2025 03:35:08,16.03.2025 22:24:59,17.02.2025 03:28:07,18.02.2025 03:24:44,19.02.2025 03:28:36,19.02.2025 22:12:27,20.02.2025 03:26:29,21.02.2025 03:27:00,22.02.2025 03:24:24,23.02.2025 03:27:44,24.02.2025 03:29:49,25.02.2025 03:29:19,26.02.2025 03:29:08,27.02.2025 03:29:23,27.02.2025 23:26:23,28.02.2025 03:29:29
03.05 - 10.05,5474,5474,5474,5474,5474,5243,5243,5243,5243,5206,5306,5533,5306,5533,5306,5533,5365,5533,5365,5533,5533,5365,5365,5424,5424,5424,5424,5424,5424,5424,5424,5424,5474,5474,5474
10.05 - 17.05,5194,5194,5194,5194,5253,5085,5085,5085,5085,5085,5085,5370,5085,5370,5085,5370,5144,5370,5144,5370,5370,5144,5144,5144,5144,5144,5144,5144,5144,5144,5144,5144,5194,5194,5194
17.05 - 24.05,5619,5619,5619,5619,5619,5268,5268,5326,5326,5326,5544,5619,5544,5619,5544,5619,5569,5619,5569,5653,5653,5569,5569,5569,5569,5569,5569,5569,5569,5569,5569,5569,5619,5619,5619
24.05 - 31.05,5386,5386,5386,5479,5479,4985,4985,4985,4985,5044,5194,5445,5194,5595,5194,5595,5253,5595,5253,,,5253,5253,5311,5311,5311,5370,5370,5370,5370,5336,5336,5386,5386,5386
31.05 - 07.06,5305,5305,5305,5305,5305,4987,4987,4987,4987,5046,5196,5363,5196,5363,5196,5363,5196,5363,5196,,,5196,5196,5196,5196,5196,5289,5255,5255,5255,5255,5255,5305,5305,5305
07.06 - 14.06,6168,6168,6168,6168,6168,6082,6082,6082,6082,6082,6082,6168,6082,6168,6082,6168,6082,6168,6082,6168,6168,6082,6082,6082,6082,6082,6082,6082,6082,6082,6082,6082,6157,6168,6168
14.06 - 21.06,5982,5982,5982,5982,5982,5933,5933,5933,5933,6073,5932,6040,5932,6040,5932,6040,5932,6040,5932,,,5932,5932,5932,,,5932,5932,5932,5932,5932,5932,5982,5982,5982
21.06 - 28.06,5287,5287,5287,5287,5287,5120,5120,5120,5120,5120,5179,5321,5179,5321,5179,5321,5237,5321,5237,5321,5321,5237,5237,5237,5237,5237,5237,5237,5237,5237,5237,5237,5287,5287,5287
28.06 - 05.07,5673,5673,5673,5648,5648,5564,5564,5564,5564,5564,5564,5648,5564,5648,5564,5648,5564,5648,5564,5648,5648,5564,5564,5564,5564,5564,5564,5564,5564,5564,5564,5564,5673,5673,5673
05.07 - 12.07,6133,6133,6133,6133,6133,5498,5498,5498,5498,5452,5452,6133,5452,6133,5498,6133,5498,6133,5498,6133,6133,5498,5732,5732,5791,5791,5966,6225,6225,6225,6225,6225,6133,6133,6133
