,28.09.2025 20:00:06,28.09.2025 21:44:28,29.09.2025 03:42:05
30.10.2025 - 13.11.2025,10278,10278,10278
06.11.2025 - 20.11.2025,11228,11228,11228
27.11.2025 - 11.12.2025,10555,10555,10555
04.12.2025 - 18.12.2025,10170,10170,10170
11.12.2025 - 25.12.2025,9776,9776,9776
19.12.2025 - 02.01.2026,10970,10970,10970
25.12.2025 - 08.01.2026,12015,12015,12015
02.01.2026 - 16.01.2026,10613,10613,10613
08.01.2026 - 22.01.2026,9794,9794,9794
15.01.2026 - 29.01.2026,10145,10145,10145
22.01.2026 - 05.02.2026,9917,9917,9917
29.01.2026 - 12.02.2026,10613,10613,10613
05.02.2026 - 19.02.2026,10498,10498,10498
12.02.2026 - 26.02.2026,10321,10321,10321
19.02.2026 - 05.03.2026,10345,10345,10345
26.02.2026 - 12.03.2026,10262,10262,10262
05.03.2026 - 19.03.2026,10028,10028,10028
12.03.2026 - 26.03.2026,10028,10028,10028
19.03.2026 - 02.04.2026,9643,9643,9643
26.03.2026 - 09.04.2026,9859,9859,9859
09.04.2026 - 23.04.2026,9760,9760,9760
23.04.2026 - 07.05.2026,9693,9693,9693
