,01.03.2026 21:28:39,01.03.2026 21:33:00,02.03.2026 04:49:39,03.03.2026 04:48:07,04.03.2026 04:41:41,05.03.2026 04:45:59,06.03.2026 04:43:25
28.05.2026 - 04.06.2026,4014,4014,4014,4014,4012,4012,4012
28.05.2026 - 11.06.2026,4682,4682,4682,4682,4696,4696,4789
04.06.2026 - 11.06.2026,3616,3616,3616,3616,3614,3614,3614
11.06.2026 - 18.06.2026,3759,3759,3759,3759,3758,3758,3758
18.06.2026 - 25.06.2026,3578,3578,3578,3578,3577,3577,3577
18.06.2026 - 02.07.2026,4699,4699,4699,4699,4713,4713,4766
25.06.2026 - 02.07.2026,3754,3754,3754,3754,3752,3752,3752
25.06.2026 - 09.07.2026,4760,4760,4760,4760,4773,4773,4778
02.07.2026 - 09.07.2026,3376,3376,3376,3376,3374,3374,3374
09.07.2026 - 16.07.2026,3557,3557,3557,3557,3555,3555,3555
16.07.2026 - 23.07.2026,3509,3509,3509,3509,3507,3583,3583
16.07.2026 - 30.07.2026,4908,4908,4908,4908,4922,4998,5218
23.07.2026 - 30.07.2026,3911,3911,3911,3911,3910,3910,3910
30.07.2026 - 06.08.2026,3816,3816,3816,3816,3814,3814,3814
06.08.2026 - 13.08.2026,3865,3865,3865,3865,3863,3863,3863
13.08.2026 - 20.08.2026,3458,3458,3458,3458,3456,3456,3456
13.08.2026 - 27.08.2026,4654,4654,4654,4654,4668,4668,4879
20.08.2026 - 27.08.2026,3581,3581,3581,3581,3580,3580,3580
20.08.2026 - 03.09.2026,4444,4444,4444,4444,4458,4458,4613
27.08.2026 - 03.09.2026,3583,3583,3583,3583,3582,3582,3582
03.09.2026 - 10.09.2026,3832,3832,3832,3832,3830,3830,3830
10.09.2026 - 17.09.2026,3830,3830,3830,3830,3829,3829,3829
17.09.2026 - 24.09.2026,3816,3816,3816,3816,3814,3814,3814
24.09.2026 - 01.10.2026,3757,3757,3757,3757,3756,3756,3756
